,0
0,2.606049060821533
1,2.6028079986572266
2,2.600090742111206
3,2.5917811393737793
4,2.5990688800811768
5,2.5923256874084473
6,2.594377040863037
7,2.579725980758667
8,2.5836217403411865
9,2.5825772285461426
10,2.5746848583221436
11,2.5688395500183105
12,2.5667755603790283
13,2.561746120452881
14,2.555290937423706
15,2.5496082305908203
16,2.547945737838745
17,2.537412405014038
18,2.539123058319092
19,2.535600185394287
20,2.5303306579589844
21,2.5240414142608643
22,2.514394760131836
23,2.5127663612365723
24,2.5079829692840576
25,2.4954049587249756
26,2.4920825958251953
27,2.499112606048584
28,2.490588903427124
29,2.4876620769500732
30,2.4742021560668945
31,2.4620935916900635
32,2.4689016342163086
33,2.447439670562744
34,2.472487211227417
35,2.4628865718841553
36,2.470597505569458
37,2.4551451206207275
38,2.445838451385498
39,2.4318044185638428
40,2.427605152130127
41,2.4250473976135254
42,2.42466402053833
43,2.4269187450408936
44,2.408677816390991
45,2.412174701690674
46,2.413918972015381
47,2.3932204246520996
48,2.3995938301086426
49,2.384636163711548
50,2.3806612491607666
51,2.3980581760406494
52,2.3653860092163086
53,2.3781051635742188
54,2.3503007888793945
55,2.3650636672973633
56,2.343735694885254
57,2.384150743484497
58,2.33681321144104
59,2.344679117202759
60,2.3480682373046875
61,2.3446905612945557
62,2.3186137676239014
63,2.315276861190796
64,2.298828601837158
65,2.3035974502563477
66,2.293646812438965
67,2.3005239963531494
68,2.3077521324157715
69,2.2968249320983887
70,2.2780869007110596
71,2.28432297706604
72,2.2647557258605957
73,2.2697880268096924
74,2.2829723358154297
75,2.2728257179260254
76,2.2729108333587646
77,2.243150472640991
78,2.239410400390625
79,2.2444982528686523
80,2.2249889373779297
81,2.2132792472839355
82,2.198305130004883
83,2.2296955585479736
84,2.202766180038452
85,2.1830646991729736
86,2.189650535583496
87,2.1954729557037354
88,2.165236234664917
89,2.200662136077881
90,2.1635355949401855
91,2.191014528274536
92,2.1488375663757324
93,2.174593210220337
94,2.1091806888580322
95,2.1440248489379883
96,2.067638635635376
97,2.1254656314849854
98,2.1352293491363525
99,2.1068339347839355
100,2.086756944656372
101,2.1393840312957764
102,2.064638376235962
103,2.0702900886535645
104,2.0721659660339355
105,2.0749592781066895
106,2.121539831161499
107,2.075089693069458
108,2.0502963066101074
109,2.0760955810546875
110,2.0454509258270264
111,2.044491767883301
112,2.0516152381896973
113,2.028419017791748
114,1.9799668788909912
115,2.069077968597412
116,1.992264986038208
117,2.0488979816436768
118,1.9943037033081055
119,2.0249624252319336
120,2.00190806388855
121,2.0121655464172363
122,1.9815456867218018
123,1.9956440925598145
124,1.982481837272644
125,1.9199169874191284
126,1.9780139923095703
127,1.9097084999084473
128,1.942481517791748
129,1.8846067190170288
130,1.97992742061615
131,1.922319769859314
132,1.954351782798767
133,1.9311823844909668
134,1.933595895767212
135,1.9209516048431396
136,1.8911687135696411
137,1.9153412580490112
138,1.8581504821777344
139,1.9381814002990723
140,1.8494161367416382
141,1.9109121561050415
142,1.9117169380187988
143,1.90272855758667
144,1.8804205656051636
145,1.8960469961166382
146,1.8972305059432983
147,1.8312807083129883
148,1.9072190523147583
149,1.8859491348266602
150,1.9188671112060547
151,1.8106545209884644
152,1.8861511945724487
153,1.8260842561721802
154,1.8325889110565186
155,1.8265867233276367
156,1.817293643951416
157,1.9230579137802124
158,1.929606318473816
159,1.8029816150665283
160,1.810117244720459
161,1.861989140510559
162,1.8394315242767334
163,1.8116281032562256
164,1.7501769065856934
165,1.7027610540390015
166,1.72150456905365
167,1.865277886390686
168,1.824581503868103
169,1.7756786346435547
170,1.8559120893478394
171,1.8118332624435425
172,1.801503300666809
173,1.8140045404434204
174,1.8658912181854248
175,1.7477750778198242
176,1.8046036958694458
177,1.7913349866867065
178,1.791579246520996
179,1.7507331371307373
180,1.7091493606567383
181,1.8084626197814941
182,1.709313988685608
183,1.7783020734786987
184,1.6805408000946045
185,1.7615838050842285
186,1.7350764274597168
187,1.7891234159469604
188,1.768915057182312
189,1.744064211845398
190,1.775270938873291
191,1.7645686864852905
192,1.699461817741394
193,1.679619550704956
194,1.694088101387024
195,1.7289608716964722
196,1.7275590896606445
197,1.762351632118225
198,1.6784840822219849
199,1.7579004764556885
200,1.74992036819458
201,1.7525805234909058
202,1.7504910230636597
203,1.6541002988815308
204,1.748871922492981
205,1.771336317062378
206,1.783889889717102
207,1.712285041809082
208,1.7089852094650269
209,1.6888172626495361
210,1.7192606925964355
211,1.7639254331588745
212,1.6335737705230713
213,1.7090421915054321
214,1.7346590757369995
215,1.7406107187271118
216,1.6884019374847412
217,1.721574068069458
218,1.6562026739120483
