,0
0,0.6924638748168945
1,0.6624046564102173
2,0.6197029948234558
3,0.5555261969566345
4,0.5043338537216187
5,0.45589208602905273
6,0.4196779131889343
7,0.3952009379863739
8,0.3809005320072174
9,0.3665779232978821
10,0.3766683042049408
11,0.31513512134552
12,0.3816727101802826
13,0.3762194812297821
14,0.3613276481628418
15,0.32044529914855957
16,0.262350857257843
17,0.32875290513038635
18,0.2717997133731842
19,0.30690115690231323
20,0.31107091903686523
21,0.31419938802719116
22,0.2623303234577179
23,0.23730036616325378
24,0.28232768177986145
25,0.20325061678886414
26,0.292940616607666
27,0.22053998708724976
28,0.211160346865654
29,0.2390318363904953
30,0.2870272397994995
31,0.2972443699836731
32,0.25382667779922485
33,0.2339235097169876
34,0.2297792285680771
35,0.2434464544057846
36,0.2417355626821518
37,0.2357366979122162
38,0.25414273142814636
39,0.24625042080879211
40,0.21471630036830902
41,0.24560129642486572
42,0.2030315399169922
43,0.22954921424388885
44,0.19413799047470093
45,0.19875933229923248
46,0.24634100496768951
47,0.19924400746822357
48,0.23490604758262634
49,0.1787683069705963
50,0.1655949056148529
51,0.20342271029949188
52,0.15540505945682526
53,0.22119422256946564
54,0.22155939042568207
55,0.16307583451271057
56,0.20892098546028137
57,0.191801056265831
58,0.15656828880310059
59,0.23561641573905945
60,0.15945972502231598
61,0.2625686824321747
62,0.20414897799491882
63,0.17920152842998505
64,0.19132429361343384
65,0.19994214177131653
66,0.16527768969535828
67,0.2005712240934372
68,0.15722574293613434
69,0.1532938927412033
70,0.17751988768577576
71,0.20710809528827667
72,0.13712221384048462
73,0.14897610247135162
74,0.1741069257259369
75,0.19865307211875916
76,0.2244986891746521
77,0.17933990061283112
78,0.15551212430000305
79,0.19442132115364075
80,0.15118755400180817
81,0.13656556606292725
82,0.21112889051437378
83,0.14652597904205322
84,0.1589382290840149
85,0.17311473190784454
86,0.14783942699432373
87,0.1927432119846344
88,0.17842614650726318
89,0.1438373327255249
90,0.11893092095851898
91,0.177363783121109
